               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.075757,            0.031734,            0.022756,             0.89059,             0.27901,             0.28816,             0.11181,            0.060207,            0.022102,           0.0082514,            0.070275,           0.0033028,           0.0033028
                   1,            0.055639,            0.021684,           0.0082063,             0.47392,             0.86681,             0.67416,             0.26995,             0.05554,            0.015497,           0.0030792,            0.039618,           0.0059791,           0.0059791
                   2,            0.052483,            0.015723,           0.0048402,             0.77331,             0.87844,             0.90046,             0.45207,            0.045864,            0.012627,           0.0024643,           0.0083013,           0.0079955,           0.0079955
                   3,            0.043302,            0.013173,           0.0036265,             0.84341,             0.97538,             0.95019,             0.54814,            0.035335,            0.011202,           0.0023196,             0.00703,             0.00703,             0.00703
                   4,            0.037115,            0.011259,           0.0027699,             0.91703,             0.97389,             0.98615,             0.62598,            0.034325,             0.01087,           0.0017946,             0.00703,             0.00703,             0.00703
                   5,            0.031828,            0.010589,           0.0021578,             0.96505,             0.99901,             0.99083,             0.72232,            0.023319,            0.010127,           0.0017086,             0.00604,             0.00604,             0.00604
                   6,            0.028298,            0.009889,           0.0016983,             0.98054,             0.98859,             0.99076,             0.75438,            0.021781,           0.0098476,            0.001619,             0.00505,             0.00505,             0.00505
                   7,            0.024817,            0.009377,           0.0017215,             0.96802,             0.99901,             0.99046,             0.74699,            0.020021,           0.0093187,           0.0013184,             0.00406,             0.00406,             0.00406
                   8,            0.022404,           0.0094169,            0.001281,             0.98863,             0.99071,             0.99176,             0.79231,             0.01772,           0.0090701,           0.0010766,             0.00307,             0.00307,             0.00307
                   9,            0.020357,           0.0089334,           0.0011357,              0.9851,             0.99147,             0.99123,             0.79191,            0.017279,           0.0089311,          0.00084269,             0.00208,             0.00208,             0.00208
